id,concept
1,tench
2,goldfish
3,great white shark
4,tiger shark
5,hammerhead shark
6,electric ray
7,stingray
8,rooster
9,hen
10,ostrich
11,brambling
12,goldfinch
13,house finch
14,junco
15,indigo bunting
16,American robin
17,bulbul
18,jay
19,magpie
20,chickadee
21,American dipper
22,kite (bird of prey)
23,bald eagle
24,vulture
25,great grey owl
26,fire salamander
27,smooth newt
28,newt
29,spotted salamander
30,axolotl
31,American bullfrog
32,tree frog
33,tailed frog
34,loggerhead sea turtle
35,leatherback sea turtle
36,mud turtle
37,terrapin
38,box turtle
39,banded gecko
40,green iguana
41,Carolina anole
42,desert grassland whiptail lizard
43,agama
44,frilled-necked lizard
45,alligator lizard
46,Gila monster
47,European green lizard
48,chameleon
49,Komodo dragon
50,Nile crocodile
51,American alligator
52,triceratops
53,worm snake
54,ring-necked snake
55,eastern hog-nosed snake
56,smooth green snake
57,kingsnake
58,garter snake
59,water snake
60,vine snake
61,night snake
62,boa constrictor
63,African rock python
64,Indian cobra
65,green mamba
66,sea snake
67,Saharan horned viper
68,eastern diamondback rattlesnake
69,sidewinder rattlesnake
70,trilobite
71,harvestman
72,scorpion
73,yellow garden spider
74,barn spider
75,European garden spider
76,southern black widow
77,tarantula
78,wolf spider
79,tick
80,centipede
81,black grouse
82,ptarmigan
83,ruffed grouse
84,prairie grouse
85,peafowl
86,quail
87,partridge
88,african grey parrot
89,macaw
90,sulphur-crested cockatoo
91,lorikeet
92,coucal
93,bee eater
94,hornbill
95,hummingbird
96,jacamar
97,toucan
98,duck
99,red-breasted merganser
100,goose
101,black swan
102,tusker
103,echidna
104,platypus
105,wallaby
106,koala
107,wombat
108,jellyfish
109,sea anemone
110,brain coral
111,flatworm
112,nematode
113,conch
114,snail
115,slug
116,sea slug
117,chiton
118,chambered nautilus
119,Dungeness crab
120,rock crab
121,fiddler crab
122,red king crab
123,American lobster
124,spiny lobster
125,crayfish
126,hermit crab
127,isopod
128,white stork
129,black stork
130,spoonbill
131,flamingo
132,little blue heron
133,great egret
134,bittern bird
135,crane bird
136,limpkin
137,common gallinule
138,American coot
139,bustard
140,ruddy turnstone
141,dunlin
142,common redshank
143,dowitcher
144,oystercatcher
145,pelican
146,king penguin
147,albatross
148,grey whale
149,killer whale
150,dugong
151,sea lion
152,Chihuahua
153,Japanese Chin
154,Maltese
155,Pekingese
156,Shih Tzu
157,King Charles Spaniel
158,Papillon
159,toy terrier
160,Rhodesian Ridgeback
161,Afghan Hound
162,Basset Hound
163,Beagle
164,Bloodhound
165,Bluetick Coonhound
166,Black and Tan Coonhound
167,Treeing Walker Coonhound
168,English foxhound
169,Redbone Coonhound
170,borzoi
171,Irish Wolfhound
172,Italian Greyhound
173,Whippet
174,Ibizan Hound
175,Norwegian Elkhound
176,Otterhound
177,Saluki
178,Scottish Deerhound
179,Weimaraner
180,Staffordshire Bull Terrier
181,American Staffordshire Terrier
182,Bedlington Terrier
183,Border Terrier
184,Kerry Blue Terrier
185,Irish Terrier
186,Norfolk Terrier
187,Norwich Terrier
188,Yorkshire Terrier
189,Wire Fox Terrier
