id,concept,similarity_score
27,Mickey,0.84677935
15,Hello Kitty,0.83328915
34,SpongeBob,0.82533884
1353,Snoopy,0.8142508
103,Minnie Mouse,0.80950624
29,Pikachu,0.8054749
650,Legend,0.80108565
26,Minions ,0.8007879
595,Psychological,0.7995492
1223,Anime,0.799054
1071,Animal ,0.7982992
1329,Animal,0.7982992
683,Joke,0.7968856
1182,Sound,0.7958752
942,Clown,0.7949961
1225,Sanrio,0.79493
131,Goofy,0.7945463
1062,Number One ,0.79452634
164,T.O.T.S.,0.7932173
599,Alex ,0.79077137
1347,Death ,0.78976077
594,Character ,0.78864896
250,Evil,0.78728825
1257,Disney Princess,0.7872871
956,Supervillain,0.7867734
24,Mario,0.7866476
1340,Andrea ,0.7858263
123,Charlie Brown,0.7851917
977,Allusion,0.78506213
1267,Mouse,0.78486454
237,Donkey ,0.78442705
762,Shu ,0.7842573
1134,Roger ,0.7838892
74,Animation,0.7834375
248,Play ,0.7833871
663,Michael ,0.7830473
412,M ,0.7829487
47,Donald Duck,0.78277904
247,Crime,0.7827401
1003,Toy,0.78246343
827,Not safe for work,0.7824173
856,Miffy,0.7816656
284,Comics,0.78137064
1000,Doll,0.7812421
739,Holiday,0.7811687
249,Novel,0.7811307
1054,The Master ,0.78091896
648,Hero,0.78078234
931,Scientist,0.78009015
746,Personification,0.7796382
1174,Porky Pig,0.77939874
245,Villain,0.7791298
1173,Kuiil,0.77896774
1038,Music,0.7788677
672,Popular culture,0.77877194
617,Actor,0.77861434
983,Poetry,0.77836615
43,Food,0.7783392
319,Comic book,0.7783036
697,Fairy tale,0.77791595
1179,Technology,0.777326
760,Nut ,0.7772867
1351,Anthropomorphic,0.7772685
737,United States,0.7771176
246,Stock character,0.77704734
870,Literature,0.77700436
806,Doge ,0.7768049
1339,Alpha ,0.7766529
1201,Acting,0.77641296
874,Chani ,0.7763301
